listing_id,room_type,accomodates,min_date,max_date,timedelta (days),timedelta > 3 months,timedelta = 0,št. reviewev v zadnjih 12 mesecih,"število mesecev, v katerem so prejeli review",latitude,longitude,reviews,overall_satisfaction,price
19842060,Entire home/apt,3,2017-07-24,2018-11-06,470,TRUE,FALSE,27,10,46.045533,14.500537,24,5,109
19852043,Entire home/apt,4,2017-08-04,2018-10-15,437,TRUE,FALSE,2,2,46.053808,14.502098,4,5,422
19853367,Entire home/apt,4,2017-07-28,2018-09-30,429,TRUE,FALSE,17,4,46.04781,14.504519,8,5,84
19861817,Entire home/apt,4,2017-10-02,2018-12-09,433,TRUE,FALSE,87,12,46.057411,14.504425,81,5,72
19872563,Private room,2,2017-08-12,2018-09-21,405,TRUE,FALSE,15,3,46.057853,14.504384,2,\N,46
19882847,Entire home/apt,4,2017-07-24,2018-12-13,507,TRUE,FALSE,11,6,46.05224,14.502861,19,5,103
19887052,Entire home/apt,3,,,0,FALSE,TRUE,0,0,46.039618,14.495712,4,4.5,44
19890709,Private room,2,2017-07-20,2018-09-18,425,TRUE,FALSE,22,4,46.043878,14.505195,16,5,19
19902145,Private room,2,2017-08-02,2018-10-02,426,TRUE,FALSE,25,6,46.045356,14.504825,17,4.5,19
19902258,Private room,1,2017-08-04,2018-09-01,393,TRUE,FALSE,7,6,46.044728,14.479108,19,5,34
19944073,Entire home/apt,8,,,0,FALSE,TRUE,0,0,46.074252,14.506199,11,4.5,48
19950005,Entire home/apt,4,2017-08-13,2018-11-27,471,TRUE,FALSE,7,4,46.076077,14.499849,4,5,32
19961883,Entire home/apt,12,2018-05-29,2018-05-29,0,FALSE,TRUE,1,1,46.057359,14.52083,1,\N,84
19962428,Entire home/apt,10,2018-07-09,2018-08-19,41,FALSE,FALSE,4,2,46.057237,14.520234,0,\N,103
19962714,Entire home/apt,12,2017-08-10,2017-08-10,0,FALSE,TRUE,0,0,46.057261,14.522254,1,\N,194
19966460,Entire home/apt,4,2017-07-31,2018-11-27,484,TRUE,FALSE,58,11,46.056114,14.512156,55,5,69
19975216,Entire home/apt,12,2017-08-06,2017-08-06,0,FALSE,TRUE,0,0,46.05766,14.521869,1,\N,363
19975431,Entire home/apt,10,2017-07-31,2018-09-28,424,TRUE,FALSE,1,1,46.058998,14.520205,2,\N,121
19975636,Entire home/apt,10,2018-04-02,2018-04-02,0,FALSE,TRUE,1,1,46.058676,14.522155,1,\N,84
19984399,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.073453,14.506885,3,4.5,42
19994162,Entire home/apt,4,2017-08-07,2018-01-02,148,TRUE,FALSE,1,1,46.082869,14.471642,3,5,61
19998429,Entire home/apt,4,2018-04-01,2018-12-01,244,TRUE,FALSE,72,9,46.055174,14.514344,27,5,74
19999211,Entire home/apt,4,2017-08-02,2018-11-25,480,TRUE,FALSE,36,12,46.057755,14.522011,43,4.5,55
20031461,Entire home/apt,2,2018-04-18,2018-12-01,227,TRUE,FALSE,28,7,46.064761,14.491967,10,5,55
20045454,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.057603,14.511228,48,5,84
20053295,Entire home/apt,2,2017-08-06,2018-09-08,398,TRUE,FALSE,12,5,46.063152,14.498493,10,4.5,69
20062138,Entire home/apt,6,2017-10-20,2018-10-16,361,TRUE,FALSE,24,10,46.061392,14.515388,13,5,121
20072441,Entire home/apt,6,2017-08-05,2018-09-24,415,TRUE,FALSE,37,10,46.084913,14.473301,34,5,72
20088143,Entire home/apt,4,2017-08-15,2018-11-02,444,TRUE,FALSE,65,11,46.037594,14.493072,61,4.5,42
20088419,Entire home/apt,3,2017-08-02,2018-09-18,412,TRUE,FALSE,22,8,46.047029,14.504801,23,4.5,72
20089324,Private room,2,2017-07-29,2018-10-01,429,TRUE,FALSE,34,5,46.049752,14.493013,19,5,36
20090761,Entire home/apt,4,,,0,FALSE,TRUE,0,0,46.032157,14.446109,0,\N,105
20111388,Entire home/apt,2,2017-09-10,2018-12-02,448,TRUE,FALSE,46,11,46.052443,14.509567,27,4.5,56
20121865,Entire home/apt,2,2017-08-05,2018-11-17,469,TRUE,FALSE,20,7,46.052399,14.515434,14,4.5,55
20136381,Entire home/apt,3,2017-08-05,2018-11-10,462,TRUE,FALSE,68,11,46.048251,14.513337,66,5,47
20142006,Entire home/apt,2,2017-08-01,2018-08-16,380,TRUE,FALSE,2,2,46.055356,14.51832,23,4.5,61
20150918,Entire home/apt,4,2017-08-07,2017-08-07,0,FALSE,TRUE,0,0,46.068658,14.490214,1,\N,106
20154093,Entire home/apt,2,2017-08-05,2018-11-11,463,TRUE,FALSE,21,10,46.049216,14.506659,19,5,96
20154845,Entire home/apt,2,2017-08-02,2018-11-25,480,TRUE,FALSE,61,12,46.048359,14.504787,56,5,60
20159782,Private room,2,,,0,FALSE,TRUE,0,0,46.054408,14.595221,10,5,42
20187073,Entire home/apt,2,2017-08-08,2018-11-23,472,TRUE,FALSE,10,8,46.048454,14.486432,22,5,54
20187752,Entire home/apt,2,,,0,FALSE,TRUE,0,0,46.04818,14.505386,0,\N,169
20203001,Entire home/apt,2,2017-08-06,2018-12-12,493,TRUE,FALSE,69,10,46.041447,14.511916,51,5,83
20204581,Entire home/apt,2,2017-08-06,2018-09-04,394,TRUE,FALSE,8,4,46.072483,14.4791,17,5,67
20211282,Private room,2,,,0,FALSE,TRUE,0,0,46.043019,14.503864,9,4.5,19
20225194,Entire home/apt,4,2017-10-30,2018-12-09,405,TRUE,FALSE,54,12,46.066509,14.517905,36,5,55
